# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.5

banned.b6277bea-8eb2-44f2-aea6-62cd54f19387, boolean, 00
blacklist::1, string, 800175
blacklist::2, string, 800179
blacklist::3, string, 800175
blacklist::4, string, 800179
blacklist::5, string, 800175
blacklist::6, string, 800179
blacklist::7, string, 800175
blacklist::8, string, 800179
blacklist::9, string, 800175
blacklist::10, string, 800179
blacklist::11, string, 800175
blacklist::12, string, 800179
blacklist::13, string, 800175
blacklist::14, string, 800179
blacklist::15, string, 800175
blacklist::16, string, 800179
blacklist::17, string, 800175
blacklist::18, string, 800179
blacklist::19, string, 800175
blacklist::20, string, 800179
blacklist::21, string, 800175
blacklist::22, string, 800179
blacklist::23, string, 800175
blacklist::24, string, 800179
blacklist::25, string, 800175
blacklist::26, string, 800179
blacklist::27, string, 800175
blacklist::28, string, 800179
blacklist::29, string, 800175
blacklist::30, string, 800179
blacklist::31, string, 800175
blacklist::32, string, 800179
blacklist::33, string, 800175
blacklist::34, string, 800179
blacklist::35, string, 800175
blacklist::36, string, 800179
blacklist::37, string, 800175
blacklist::38, string, 800179
blacklist::39, string, 800175
blacklist::40, string, 800179
blacklist::41, string, 800175
blacklist::42, string, 800179
blacklist::43, string, 800175
blacklist::44, string, 800179
blacklist::45, string, 800175
blacklist::46, string, 800179
blacklist::47, string, 800175
blacklist::48, string, 800179
blacklist::49, string, 800175
blacklist::50, string, 800179
blacklist::51, string, 800175
blacklist::52, string, 800179
blacklist::53, string, 800175
blacklist::54, string, 800179
blacklist::55, string, 800175
blacklist::56, string, 800179
blacklist::57, string, 800175
blacklist::58, string, 800179
blacklist::59, string, 800175
blacklist::60, string, 800179
blacklist::61, string, 800175
blacklist::62, string, 800179
blacklist::63, string, 800175
blacklist::64, string, 800179
blacklist::65, string, 800175
blacklist::66, string, 800179
blacklist::67, string, 800175
blacklist::68, string, 800179
blacklist::69, string, 800175
blacklist::70, string, 800179
blacklist::71, string, 800175
blacklist::72, string, 800179
blacklist::73, string, 800175
blacklist::74, string, 800179
blacklist::75, string, 800175
blacklist::76, string, 800179
blacklist::77, string, 800175
